gameId,playId,tacklerName,tacklerPlayDirection,tacklerX,tacklerY,tacklerSpeed,tacklerAcc,tacklerOrientation,tacklerDirectionAngle,tacklerNflId,tacklerHeight,tacklerWeight,tacklerPos,tackle,forcedFumble,ballCarrierDisplayName,ballCarrierPlayDirection,ballCarrierX,ballCarrierY,ballCarrierSpeed,ballCarrierAcc,ballCarrierOrientation,ballCarrierDirectionAngle,ballCarrierId,ballCarrierHeight,ballCarrierWeight,ballCarrierPos,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded
2022090800,896,Ernest Jones,right,46.83,13.41,1.32,2.15,296.01,160.6,53532,6-2,230,ILB,0,1,James Cook,right,46.04,13.56,5.51,3.12,104.99,139.39,54528,5-11,190,RB,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36.",2,2,8,BUF,LA,BUF,34,13:36,0,7,,,,2,2,N,44,SHOTGUN,6.0,0.659224153,0.225667764,0.774332236,0.094656467,-0.094656467,1.07790502,-4.717964267
2022090800,3304,Nick Scott,right,94.87,38.69,3.05,3.23,276.24,359.98,48026,5-11,200,SS,0,1,Zack Moss,right,94.09,38.73,1.38,2.49,101.49,109.03,52494,5-10,215,RB,"(5:27) Z.Moss left tackle to LA 16 for 4 yards (T.Rapp, N.Scott). FUMBLES (N.Scott), RECOVERED by LA-J.Hollins at LA 18.",4,2,6,BUF,LA,LA,20,5:27,10,31,,,,2,2,N,90,I_FORM,7.0,0.073763333,0.001396711,0.998603289,0.001231864,-0.001231864,4.32004283,-4.856559046
2022091100,679,Pete Werner,right,55.98,22.58,7.67,3.22,22.84,11.29,53489,6-3,242,OLB,1,1,Olamide Zaccheaus,right,56.1,23.06,6.73,3.27,71.83,32.27,48374,5-8,193,WR,"(5:44) M.Mariota pass deep right to O.Zaccheaus to ATL 47 for 22 yards (P.Werner). FUMBLES (P.Werner), touched at ATL 47, RECOVERED by NO-B.Roby at ATL 45. B.Roby to ATL 43 for 2 yards (P.Hesse).",1,1,10,ATL,NO,ATL,25,5:44,3,7,C,19.0,,22,18,N,35,SINGLEBACK,7.0,0.521872878,0.216071153,0.783928847,-0.066833347,0.066833347,1.207346067,-4.792312382
2022091100,2555,Mykal Walker,left,66.24,36.44,3.9,2.73,182.88,211.95,52527,6-3,219,ILB,0,1,Mark Ingram,left,66.0,35.7,4.73,3.0,347.6,264.06,37101,5-9,215,RB,"(5:23) (Shotgun) J.Winston pass short right to M.Ingram to NO 45 for 1 yard (J.Hawkins, M.Walker) [T.Graham]. FUMBLES (M.Walker), RECOVERED by ATL-R.Evans at NO 46. R.Evans to NO 36 for 10 yards (C.Ruiz).",3,3,6,NO,ATL,NO,44,5:23,23,10,C,-6.0,,1,-8,N,66,SHOTGUN,7.0,0.980360568,0.822113901,0.177886099,0.097611882,-0.097611882,1.399380069,-5.257883256
2022091100,2683,Marcus Maye,right,105.63,41.8,3.65,2.6,295.8,352.05,44851,6-0,207,FS,0,1,Marcus Mariota,right,104.77,42.14,3.61,4.97,348.51,45.99,42345,6-4,222,QB,"(3:23) (No Huddle, Shotgun) M.Mariota scrambles left end to NO 5 for 9 yards (T.Mathieu, M.Maye). FUMBLES (M.Maye), RECOVERED by NO-T.Mathieu at NO 5.",3,3,5,ATL,NO,NO,14,3:23,23,10,R,,,9,9,N,96,SHOTGUN,6.0,0.937696457,0.932778703,0.067221297,-0.049078377,0.049078377,4.198413373,-4.140007262
2022091102,268,Jaylon Johnson,right,96.39,44.86,0.68,2.29,117.0,4.25,52458,6-0,195,CB,1,1,Deebo Samuel,right,98.92,45.37,5.57,4.04,354.46,54.9,47819,5-11,214,WR,"(10:24) (Shotgun) D.Samuel left end to CHI 12 for 4 yards (J.Johnson). FUMBLES (J.Johnson), RECOVERED by CHI-J.Brisker at CHI 12.",1,1,10,SF,CHI,CHI,16,10:24,0,0,,,,4,4,N,94,SHOTGUN,6.0,0.765093803,0.313191947,0.686808053,0.108028024,-0.108028024,5.054055174,-5.464678309
2022091103,2740,Chidobe Awuzie,left,46.87,53.72,2.57,3.69,43.85,339.69,44872,6-0,202,CB,1,1,Diontae Johnson,left,46.27,53.14,1.7,2.42,116.49,322.96,47849,5-10,181,WR,"(12:37) (Shotgun) M.Trubisky pass short right to D.Johnson to CIN 37 for 6 yards (C.Awuzie). FUMBLES (C.Awuzie), ball out of bounds at CIN 37. PIT-M.Cole was injured during the play.",4,2,8,PIT,CIN,CIN,43,12:37,14,17,C,6.0,,6,6,N,53,SHOTGUN,6.0,0.662216425,0.37896334,0.62103666,-0.003999632,0.003999632,2.476338443,0.149206422
2022091106,442,Jonathan Jones,left,31.52,1.65,3.8,1.73,185.01,197.68,43700,5-10,190,CB,1,1,Tyreek Hill,left,31.78,1.12,4.94,1.43,261.72,244.66,43454,5-10,185,WR,"(6:48) T.Tagovailoa pass deep left to T.Hill to NE 22 for 23 yards (Jo.Jones). FUMBLES (Jo.Jones), ball out of bounds at NE 22.",1,1,10,MIA,NE,NE,45,6:48,0,0,C,20.0,,23,23,N,55,I_FORM,8.0,0.668412745,0.640699241,0.359300759,0.031456582,-0.031456582,3.489472766,1.305243608
2022091106,3213,Kader Kohou,left,48.41,20.7,3.63,3.87,19.07,97.34,54936,5-9,187,CB,1,1,Nelson Agholor,left,48.07,21.46,2.06,5.76,69.72,192.43,42363,6-0,198,WR,"(5:06) (Shotgun) M.Jones pass short middle to N.Agholor to MIA 38 for 5 yards (K.Kohou). FUMBLES (K.Kohou), RECOVERED by MIA-J.Phillips at MIA 37.",4,2,10,NE,MIA,MIA,43,5:06,20,7,C,5.0,,5,6,N,53,SHOTGUN,4.0,0.947286427,0.962896341,0.037103659,0.033532236,-0.033532236,2.386642999,-4.28173624
2022091107,1879,Michael Pierce,right,90.09,12.58,5.01,2.7,231.27,173.02,43694,6-0,340,NT,0,1,Tyler Conklin,right,90.04,12.75,1.44,3.64,117.23,176.81,46226,6-3,254,TE,"(1:16) (Shotgun) J.Flacco pass short right to T.Conklin to BLT 21 for 6 yards (M.Williams, M.Pierce). FUMBLES (M.Pierce), touched at BLT 25, recovered by NYJ-G.Wilson at BLT 27. G.Wilson to BLT 27 for no gain (K.Hamilton).",2,3,5,NYJ,BAL,BAL,27,1:16,0,10,C,6.0,,0,0,N,83,SHOTGUN,5.0,0.958370268,0.198469911,0.801530089,-0.009911859,0.009911859,1.877970973,-0.117812267
